PeakID (cmd=annotatePeaks.pl hc_IDR_summit.bed hc.fna -gid -gtf hc.gtf -cpu 30)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
6944	IV	20468778	20468778	+	0	NA	Intergenic	Intergenic	-5193	V3C99_008016	V3C99_008016	gnl|V3C99|Hcon5G00000003642						protein_coding
5097	V	18441551	18441551	+	0	NA	promoter-TSS (V3C99_015051)	mRNA-promoter-TSS (V3C99_015051)	-101	V3C99_015052	V3C99_015052	gnl|V3C99|Hcon5G00000017210						protein_coding
11412	IV	46006323	46006323	+	0	NA	intron (V3C99_009677, intron 2 of 14)	mRNA-intron (V3C99_009677, intron 2 of 14)	1311	V3C99_009677	V3C99_009677	gnl|V3C99|Hcon5G00000005303						protein_coding
1601	III	19692137	19692137	+	0	NA	Intergenic	Intergenic	-1472	V3C99_001224	V3C99_001224	gnl|V3C99|Hcon5G00000010713						protein_coding
357	IV	54217	54217	+	0	NA	Intergenic	Intergenic	-2074	V3C99_006535	V3C99_006535	gnl|V3C99|Hcon5G00000002161						protein_coding
1203	I	34165649	34165649	+	0	NA	intron (V3C99_005477, intron 6 of 6)	mRNA-intron (V3C99_005477, intron 9 of 9)	14845	V3C99_005477	V3C99_005477	gnl|V3C99|Hcon5G00000008434						protein_coding
4459	V	30084884	30084884	+	0	NA	exon (V3C99_015671, exon 8 of 15)	mRNA-exon (V3C99_015671, exon 8 of 15)	-5285	V3C99_015672	V3C99_015672	gnl|V3C99|Hcon5G00000017830						protein_coding
4815	I	44244555	44244555	+	0	NA	Intergenic	Intergenic	3915	V3C99_006284	V3C99_006284	gnl|V3C99|Hcon5G00000009241						protein_coding
14135	I	17046749	17046749	+	0	NA	intron (V3C99_004411, intron 1 of 8)	mRNA-intron (V3C99_004411, intron 1 of 8)	-3040	V3C99_004411	V3C99_004411	gnl|V3C99|Hcon5G00000007368						protein_coding
13044	I	47449401	47449401	+	0	NA	intron (V3C99_006484, intron 1 of 18)	mRNA-intron (V3C99_006484, intron 2 of 19)	3400	V3C99_006484	V3C99_006484	gnl|V3C99|Hcon5G00000009441						protein_coding
15976	II	21988937	21988937	+	0	NA	intron (V3C99_011936, intron 1 of 17)	mRNA-intron (V3C99_011936, intron 1 of 17)	20562	V3C99_011936	V3C99_011936	gnl|V3C99|Hcon5G00000014094						protein_coding
10840	I	37968911	37968911	+	0	NA	Intergenic	Intergenic	-1932	V3C99_005770	V3C99_005770	gnl|V3C99|Hcon5G00000008727						protein_coding
6697	V	2878153	2878153	+	0	NA	intron (V3C99_013934, intron 1 of 23)	mRNA-intron (V3C99_013934, intron 1 of 23)	-1573	V3C99_013934	V3C99_013934	gnl|V3C99|Hcon5G00000016092						protein_coding
13320	III	45275348	45275348	+	0	NA	intron (V3C99_003064, intron 3 of 3)	mRNA-intron (V3C99_003064, intron 3 of 3)	2699	V3C99_003064	V3C99_003064	gnl|V3C99|Hcon5G00000012553						protein_coding
4131	III	10018885	10018885	+	0	NA	TTS (V3C99_000636)	mRNA-TTS (V3C99_000636)	-5485	V3C99_000638	V3C99_000638	gnl|V3C99|Hcon5G00000010127						protein_coding
11781	I	44254789	44254789	+	0	NA	Intergenic	Intergenic	-6319	V3C99_006284	V3C99_006284	gnl|V3C99|Hcon5G00000009241						protein_coding
10929	IV	51451453	51451453	+	0	NA	Intergenic	Intergenic	-7128	V3C99_010154	V3C99_010154	gnl|V3C99|Hcon5G00000005780						protein_coding
13027	IV	51153460	51153460	+	0	NA	exon (V3C99_010141, exon 3 of 9)	mRNA-exon (V3C99_010141, exon 3 of 9)	-4640	V3C99_010140	V3C99_010140	gnl|V3C99|Hcon5G00000005766						protein_coding
21629	I	34781212	34781212	+	0	NA	Intergenic	Intergenic	8160	V3C99_005517	V3C99_005517	gnl|V3C99|Hcon5G00000008474						protein_coding
12385	III	19112357	19112357	+	0	NA	intron (V3C99_001177, intron 2 of 20)	mRNA-intron (V3C99_001177, intron 2 of 20)	3632	V3C99_001177	V3C99_001177	gnl|V3C99|Hcon5G00000010666						protein_coding
2866	II	7353315	7353315	+	0	NA	promoter-TSS (V3C99_010911)	mRNA-promoter-TSS (V3C99_010911)	-638	V3C99_010911	V3C99_010911	gnl|V3C99|Hcon5G00000013069						protein_coding
11564	II	31265522	31265522	+	0	NA	Intergenic	Intergenic	-17962	V3C99_012433	V3C99_012433	gnl|V3C99|Hcon5G00000014591						protein_coding
12551	V	42405963	42405963	+	0	NA	exon (V3C99_016534, exon 5 of 6)	mRNA-exon (V3C99_016534, exon 5 of 6)	1633	V3C99_016534	V3C99_016534	gnl|V3C99|Hcon5G00000018692						protein_coding
20258	X	30543285	30543285	+	0	NA	promoter-TSS (V3C99_018963)	mRNA-promoter-TSS (V3C99_018963)	-1922	V3C99_018963	V3C99_018963	gnl|V3C99|Hcon5G00000001887						protein_coding
4457	III	42481137	42481137	+	0	NA	Intergenic	Intergenic	-26868	V3C99_002877	V3C99_002877	gnl|V3C99|Hcon5G00000012366						protein_coding
6699	III	27847626	27847626	+	0	NA	intron (V3C99_001771, intron 1 of 7)	mRNA-intron (V3C99_001771, intron 1 of 8)	8671	V3C99_001771	V3C99_001771	gnl|V3C99|Hcon5G00000011260						protein_coding
15996	III	25882980	25882980	+	0	NA	intron (V3C99_001647, intron 9 of 23)	mRNA-intron (V3C99_001647, intron 9 of 23)	9726	V3C99_001647	V3C99_001647	gnl|V3C99|Hcon5G00000011136						protein_coding
11349	IV	33358746	33358746	+	0	NA	promoter-TSS (V3C99_008717)	mRNA-promoter-TSS (V3C99_008717)	-575	V3C99_008717	V3C99_008717	gnl|V3C99|Hcon5G00000004343						protein_coding
20533	II	47520931	47520931	+	0	NA	intron (V3C99_013678, intron 2 of 9)	mRNA-intron (V3C99_013678, intron 2 of 9)	2839	V3C99_013678	V3C99_013678	gnl|V3C99|Hcon5G00000015836						protein_coding
209	V	28286276	28286276	+	0	NA	Intergenic	Intergenic	15122	V3C99_015547	V3C99_015547	gnl|V3C99|Hcon5G00000017705						protein_coding
13172	I	7165270	7165270	+	0	NA	Intergenic	Intergenic	-1044	V3C99_003696	V3C99_003696	gnl|V3C99|Hcon5G00000006653						protein_coding
116	I	19734321	19734321	+	0	NA	intron (V3C99_004598, intron 11 of 12)	mRNA-intron (V3C99_004598, intron 11 of 13)	-1220	V3C99_004598	V3C99_004598	gnl|V3C99|Hcon5G00000007555						protein_coding
18948	II	43726961	43726961	+	0	NA	promoter-TSS (V3C99_013384)	mRNA-promoter-TSS (V3C99_013384)	-413	V3C99_013384	V3C99_013384	gnl|V3C99|Hcon5G00000015542						protein_coding
3552	I	18574784	18574784	+	0	NA	Intergenic	Intergenic	-1581	V3C99_004537	V3C99_004537	gnl|V3C99|Hcon5G00000007494						protein_coding
10488	II	36483564	36483564	+	0	NA	intron (V3C99_012731, intron 16 of 39)	mRNA-intron (V3C99_012731, intron 16 of 40)	7011	V3C99_012731	V3C99_012731	gnl|V3C99|Hcon5G00000014889						protein_coding
5099	IV	941223	941223	+	0	NA	intron (V3C99_006585, intron 33 of 39)	mRNA-intron (V3C99_006585, intron 33 of 39)	-4531	V3C99_006587	V3C99_006587	gnl|V3C99|Hcon5G00000002213						protein_coding
2503	III	29660024	29660024	+	0	NA	intron (V3C99_001897, intron 5 of 6)	mRNA-intron (V3C99_001897, intron 5 of 6)	6997	V3C99_001897	V3C99_001897	gnl|V3C99|Hcon5G00000011386						protein_coding
5219	IV	8569115	8569115	+	0	NA	TTS (V3C99_007211)	mRNA-TTS (V3C99_007211)	275	V3C99_007212	V3C99_007212	gnl|V3C99|Hcon5G00000002838						protein_coding
8485	I	40779741	40779741	+	0	NA	promoter-TSS (V3C99_005984)	mRNA-promoter-TSS (V3C99_005984)	-236	V3C99_005984	V3C99_005984	gnl|V3C99|Hcon5G00000008941						protein_coding
6075	I	45485910	45485910	+	0	NA	intron (V3C99_006351, intron 7 of 8)	mRNA-intron (V3C99_006351, intron 8 of 9)	9274	V3C99_006351	V3C99_006351	gnl|V3C99|Hcon5G00000009308						protein_coding
531	II	39209149	39209149	+	0	NA	TTS (V3C99_012974)	mRNA-TTS (V3C99_012974)	213	V3C99_012973	V3C99_012973	gnl|V3C99|Hcon5G00000015131						protein_coding
15219	V	3650811	3650811	+	0	NA	promoter-TSS (V3C99_013999)	mRNA-promoter-TSS (V3C99_013999)	-779	V3C99_013999	V3C99_013999	gnl|V3C99|Hcon5G00000016157						protein_coding
22032	V	1412346	1412346	+	0	NA	intron (V3C99_013814, intron 1 of 3)	mRNA-intron (V3C99_013814, intron 1 of 3)	-7552	V3C99_013814	V3C99_013814	gnl|V3C99|Hcon5G00000015972						protein_coding
17506	I	34518176	34518176	+	0	NA	Intergenic	Intergenic	-5316	V3C99_005497	V3C99_005497	gnl|V3C99|Hcon5G00000008454						protein_coding
16297	V	7371352	7371352	+	0	NA	promoter-TSS (V3C99_014284)	mRNA-promoter-TSS (V3C99_014284)	-557	V3C99_014284	V3C99_014284	gnl|V3C99|Hcon5G00000016442						protein_coding
20176	IV	29330857	29330857	+	0	NA	exon (V3C99_008471, exon 18 of 37)	mRNA-exon (V3C99_008471, exon 18 of 37)	5192	V3C99_008471	V3C99_008471	gnl|V3C99|Hcon5G00000004097						protein_coding
17008	II	11044253	11044253	+	0	NA	exon (V3C99_011195, exon 2 of 2)	mRNA-exon (V3C99_011195, exon 2 of 2)	726	V3C99_011195	V3C99_011195	gnl|V3C99|Hcon5G00000013353						protein_coding
9342	I	20137123	20137123	+	0	NA	Intergenic	Intergenic	2536	V3C99_004618	V3C99_004618	gnl|V3C99|Hcon5G00000007575						protein_coding
17494	V	1042315	1042315	+	0	NA	Intergenic	Intergenic	-3119	V3C99_013791	V3C99_013791	gnl|V3C99|Hcon5G00000015949						protein_coding
2141	I	31835497	31835497	+	0	NA	Intergenic	Intergenic	-11097	V3C99_005354	V3C99_005354	gnl|V3C99|Hcon5G00000008311						protein_coding
5675	I	7602884	7602884	+	0	NA	Intergenic	Intergenic	17945	V3C99_003726	V3C99_003726	gnl|V3C99|Hcon5G00000006683						protein_coding
221	IV	37228908	37228908	+	0	NA	intron (V3C99_008996, intron 7 of 23)	mRNA-intron (V3C99_008996, intron 8 of 24)	-17734	V3C99_008996	V3C99_008996	gnl|V3C99|Hcon5G00000004622						protein_coding
2319	V	8670088	8670088	+	0	NA	intron (V3C99_014400, intron 14 of 15)	mRNA-intron (V3C99_014400, intron 15 of 16)	11364	V3C99_014400	V3C99_014400	gnl|V3C99|Hcon5G00000016558						protein_coding
21396	IV	7391959	7391959	+	0	NA	intron (V3C99_007109, intron 2 of 5)	mRNA-intron (V3C99_007109, intron 2 of 5)	4110	V3C99_007109	V3C99_007109	gnl|V3C99|Hcon5G00000002735						protein_coding
17817	III	28266238	28266238	+	0	NA	Intergenic	Intergenic	7016	V3C99_001806	V3C99_001806	gnl|V3C99|Hcon5G00000011295						protein_coding
12820	III	1502033	1502033	+	0	NA	promoter-TSS (V3C99_000077)	mRNA-promoter-TSS (V3C99_000077)	-745	V3C99_000077	V3C99_000077	gnl|V3C99|Hcon5G00000009566						protein_coding
4524	III	17319455	17319455	+	0	NA	intron (V3C99_001082, intron 2 of 3)	mRNA-intron (V3C99_001082, intron 2 of 3)	-4184	V3C99_001081	V3C99_001081	gnl|V3C99|Hcon5G00000010570						protein_coding
6453	III	30757690	30757690	+	0	NA	exon (V3C99_001991, exon 2 of 2)	mRNA-exon (V3C99_001991, exon 2 of 2)	2052	V3C99_001991	V3C99_001991	gnl|V3C99|Hcon5G00000011480						protein_coding
12129	X	20405929	20405929	+	0	NA	exon (V3C99_018365, exon 1 of 1)	mRNA-exon (V3C99_018365, exon 1 of 1)	381	V3C99_018365	V3C99_018365	gnl|V3C99|Hcon5G00000001289						protein_coding
19930	IV	45050929	45050929	+	0	NA	promoter-TSS (V3C99_009589)	mRNA-promoter-TSS (V3C99_009589)	79	V3C99_009589	V3C99_009589	gnl|V3C99|Hcon5G00000005215						protein_coding
3920	III	41394508	41394508	+	0	NA	promoter-TSS (V3C99_002776)	mRNA-promoter-TSS (V3C99_002776)	-262	V3C99_002776	V3C99_002776	gnl|V3C99|Hcon5G00000012265						protein_coding
6871	I	47803102	47803102	+	0	NA	intron (V3C99_006504, intron 5 of 6)	mRNA-intron (V3C99_006504, intron 6 of 7)	2215	V3C99_006504	V3C99_006504	gnl|V3C99|Hcon5G00000009461						protein_coding
17474	V	44809610	44809610	+	0	NA	TTS (V3C99_016722)	mRNA-TTS (V3C99_016722)	-2164	V3C99_016721	V3C99_016721	gnl|V3C99|Hcon5G00000018879						protein_coding
7061	X	5062156	5062156	+	0	NA	intron (V3C99_017415, intron 12 of 17)	mRNA-intron (V3C99_017415, intron 12 of 17)	11190	V3C99_017415	V3C99_017415	gnl|V3C99|Hcon5G00000000339						protein_coding
22219	X	28437811	28437811	+	0	NA	intron (V3C99_018839, intron 9 of 12)	mRNA-intron (V3C99_018839, intron 9 of 12)	8682	V3C99_018839	V3C99_018839	gnl|V3C99|Hcon5G00000001763						protein_coding
15032	IV	930192	930192	+	0	NA	intron (V3C99_006585, intron 19 of 39)	mRNA-intron (V3C99_006585, intron 19 of 39)	5779	V3C99_006586	V3C99_006586	gnl|V3C99|Hcon5G00000002212						protein_coding
13885	III	24075188	24075188	+	0	NA	Intergenic	Intergenic	-1930	V3C99_001532	V3C99_001532	gnl|V3C99|Hcon5G00000011021						protein_coding
2317	I	44079854	44079854	+	0	NA	exon (V3C99_006273, exon 1 of 4)	mRNA-exon (V3C99_006273, exon 1 of 4)	9731	V3C99_006272	V3C99_006272	gnl|V3C99|Hcon5G00000009229						protein_coding
21376	V	23995113	23995113	+	0	NA	promoter-TSS (V3C99_015290)	mRNA-promoter-TSS (V3C99_015290)	-279	V3C99_015290	V3C99_015290	gnl|V3C99|Hcon5G00000017448						protein_coding
7124	II	4569025	4569025	+	0	NA	Intergenic	Intergenic	-13219	V3C99_010691	V3C99_010691	gnl|V3C99|Hcon5G00000012849						protein_coding
12949	III	27840728	27840728	+	0	NA	intron (V3C99_001771, intron 1 of 7)	mRNA-intron (V3C99_001771, intron 1 of 8)	1773	V3C99_001771	V3C99_001771	gnl|V3C99|Hcon5G00000011260						protein_coding
5217	I	36567368	36567368	+	0	NA	intron (V3C99_005662, intron 2 of 11)	mRNA-intron (V3C99_005662, intron 2 of 11)	-5411	V3C99_005663	V3C99_005663	gnl|V3C99|Hcon5G00000008620						protein_coding
11501	II	22397991	22397991	+	0	NA	Intergenic	Intergenic	-8215	V3C99_011956	V3C99_011956	gnl|V3C99|Hcon5G00000014114						protein_coding
20196	V	30559948	30559948	+	0	NA	Intergenic	Intergenic	-13501	V3C99_015694	V3C99_015694	gnl|V3C99|Hcon5G00000017852						protein_coding
151	V	6023924	6023924	+	0	NA	promoter-TSS (V3C99_014207)	mRNA-promoter-TSS (V3C99_014207)	-317	V3C99_014207	V3C99_014207	gnl|V3C99|Hcon5G00000016365						protein_coding
16277	III	44272760	44272760	+	0	NA	Intergenic	Intergenic	23522	V3C99_002987	V3C99_002987	gnl|V3C99|Hcon5G00000012476						protein_coding
18662	V	33342790	33342790	+	0	NA	exon (V3C99_015885, exon 3 of 3)	mRNA-exon (V3C99_015885, exon 3 of 3)	10229	V3C99_015889	V3C99_015889	gnl|V3C99|Hcon5G00000018047						protein_coding
4693	I	30327471	30327471	+	0	NA	intron (V3C99_005260, intron 2 of 9)	mRNA-intron (V3C99_005260, intron 2 of 9)	3561	V3C99_005260	V3C99_005260	gnl|V3C99|Hcon5G00000008217						protein_coding
11985	X	19644968	19644968	+	0	NA	exon (V3C99_018326, exon 2 of 2)	mRNA-exon (V3C99_018326, exon 2 of 2)	837	V3C99_018326	V3C99_018326	gnl|V3C99|Hcon5G00000001250						protein_coding
20685	III	28464381	28464381	+	0	NA	intron (V3C99_001816, intron 2 of 29)	mRNA-intron (V3C99_001816, intron 2 of 29)	14861	V3C99_001816	V3C99_001816	gnl|V3C99|Hcon5G00000011305						protein_coding
4291	II	38099294	38099294	+	0	NA	intron (V3C99_012880, intron 5 of 11)	mRNA-intron (V3C99_012880, intron 5 of 11)	-10203	V3C99_012879	V3C99_012879	gnl|V3C99|Hcon5G00000015037						protein_coding
7865	IV	53842954	53842954	+	0	NA	Intergenic	Intergenic	3039	V3C99_010374	V3C99_010374	gnl|V3C99|Hcon5G00000006000						protein_coding
7546	III	26267280	26267280	+	0	NA	intron (V3C99_001672, intron 1 of 11)	mRNA-intron (V3C99_001672, intron 1 of 11)	419	V3C99_001672	V3C99_001672	gnl|V3C99|Hcon5G00000011161						protein_coding
2296	V	31574121	31574121	+	0	NA	Intergenic	Intergenic	-1794	V3C99_015769	V3C99_015769	gnl|V3C99|Hcon5G00000017927						protein_coding
1889	II	45475514	45475514	+	0	NA	TTS (V3C99_013503)	mRNA-TTS (V3C99_013503)	1840	V3C99_013503	V3C99_013503	gnl|V3C99|Hcon5G00000015661						protein_coding
11362	IV	40204439	40204439	+	0	NA	Intergenic	Intergenic	-20175	V3C99_009196	V3C99_009196	gnl|V3C99|Hcon5G00000004822						protein_coding
14008	V	26035357	26035357	+	0	NA	Intergenic	Intergenic	-12612	V3C99_015419	V3C99_015419	gnl|V3C99|Hcon5G00000017577						protein_coding
7380	IV	44110846	44110846	+	0	NA	Intergenic	Intergenic	20709	V3C99_009512	V3C99_009512	gnl|V3C99|Hcon5G00000005138						protein_coding
14494	III	35607951	35607951	+	0	NA	promoter-TSS (V3C99_002314)	mRNA-promoter-TSS (V3C99_002314)	-934	V3C99_002314	V3C99_002314	gnl|V3C99|Hcon5G00000011803						protein_coding
22328	II	43181744	43181744	+	0	NA	promoter-TSS (V3C99_013338)	mRNA-promoter-TSS (V3C99_013338)	-58	V3C99_013338	V3C99_013338	gnl|V3C99|Hcon5G00000015496						protein_coding
13323	III	4313099	4313099	+	0	NA	TTS (V3C99_000266)	mRNA-TTS (V3C99_000266)	-6165	V3C99_000267	V3C99_000267	gnl|V3C99|Hcon5G00000009756						protein_coding
14506	II	47773627	47773627	+	0	NA	intron (V3C99_013690, intron 3 of 14)	mRNA-intron (V3C99_013690, intron 3 of 14)	-7365	V3C99_013690	V3C99_013690	gnl|V3C99|Hcon5G00000015848						protein_coding
10843	V	13753281	13753281	+	0	NA	Intergenic	Intergenic	-8904	V3C99_014745	V3C99_014745	gnl|V3C99|Hcon5G00000016903						protein_coding
3649	III	36614488	36614488	+	0	NA	Intergenic	Intergenic	5410	V3C99_002391	V3C99_002391	gnl|V3C99|Hcon5G00000011880						protein_coding
7135	I	43809283	43809283	+	0	NA	intron (V3C99_006248, intron 2 of 2)	mRNA-intron (V3C99_006248, intron 2 of 2)	7094	V3C99_006247	V3C99_006247	gnl|V3C99|Hcon5G00000009204						protein_coding
8785	I	675331	675331	+	0	NA	Intergenic	Intergenic	-12294	V3C99_003159	V3C99_003159	gnl|V3C99|Hcon5G00000006116						protein_coding
5396	IV	7947759	7947759	+	0	NA	promoter-TSS (V3C99_007163)	mRNA-promoter-TSS (V3C99_007163)	-131	V3C99_007163	V3C99_007163	gnl|V3C99|Hcon5G00000002789						protein_coding
15452	V	4650556	4650556	+	0	NA	Intergenic	Intergenic	-7324	V3C99_014082	V3C99_014082	gnl|V3C99|Hcon5G00000016240						protein_coding
8572	III	5292158	5292158	+	0	NA	promoter-TSS (V3C99_000331)	mRNA-promoter-TSS (V3C99_000331)	-164	V3C99_000331	V3C99_000331	gnl|V3C99|Hcon5G00000009820						protein_coding
21511	II	45517820	45517820	+	0	NA	exon (V3C99_013508, exon 2 of 3)	mRNA-exon (V3C99_013508, exon 2 of 3)	984	V3C99_013508	V3C99_013508	gnl|V3C99|Hcon5G00000015666						protein_coding
16089	III	45191394	45191394	+	0	NA	Intergenic	Intergenic	-8139	V3C99_003058	V3C99_003058	gnl|V3C99|Hcon5G00000012547						protein_coding
6753	V	13249729	13249729	+	0	NA	intron (V3C99_014724, intron 2 of 37)	mRNA-intron (V3C99_014724, intron 2 of 37)	8063	V3C99_014724	V3C99_014724	gnl|V3C99|Hcon5G00000016882						protein_coding
7190	IV	27410789	27410789	+	0	NA	Intergenic	Intergenic	7937	V3C99_008365	V3C99_008365	gnl|V3C99|Hcon5G00000003991						protein_coding
12648	IV	41922699	41922699	+	0	NA	intron (V3C99_009344, intron 6 of 14)	mRNA-intron (V3C99_009344, intron 5 of 16)	2758	V3C99_009344	V3C99_009344	gnl|V3C99|Hcon5G00000004970						protein_coding
19407	X	7589963	7589963	+	0	NA	intron (V3C99_017598, intron 5 of 10)	mRNA-intron (V3C99_017598, intron 6 of 10)	10041	V3C99_017598	V3C99_017598	gnl|V3C99|Hcon5G00000000522						protein_coding
12209	II	35974452	35974452	+	0	NA	Intergenic	Intergenic	-2706	V3C99_012707	V3C99_012707	gnl|V3C99|Hcon5G00000014865						protein_coding
3912	III	4335169	4335169	+	0	NA	Intergenic	Intergenic	-8382	V3C99_000270	V3C99_000270	gnl|V3C99|Hcon5G00000009759						protein_coding
5186	V	21420994	21420994	+	0	NA	intron (V3C99_015165, intron 9 of 10)	mRNA-intron (V3C99_015165, intron 9 of 11)	8004	V3C99_015165	V3C99_015165	gnl|V3C99|Hcon5G00000017323						protein_coding
14817	V	48204273	48204273	+	0	NA	intron (V3C99_017010, intron 34 of 38)	mRNA-intron (V3C99_017010, intron 34 of 38)	-4131	V3C99_017013	V3C99_017013	gnl|V3C99|Hcon5G00000019171						protein_coding
20425	III	33919046	33919046	+	0	NA	promoter-TSS (V3C99_002183)	mRNA-promoter-TSS (V3C99_002183)	-793	V3C99_002183	V3C99_002183	gnl|V3C99|Hcon5G00000011672						protein_coding
19601	II	17249296	17249296	+	0	NA	intron (V3C99_011564, intron 3 of 29)	mRNA-intron (V3C99_011564, intron 3 of 29)	6468	V3C99_011564	V3C99_011564	gnl|V3C99|Hcon5G00000013722						protein_coding
20530	X	26180426	26180426	+	0	NA	Intergenic	Intergenic	-21872	V3C99_018738	V3C99_018738	gnl|V3C99|Hcon5G00000001662						protein_coding
10162	IV	7190574	7190574	+	0	NA	exon (V3C99_007084, exon 7 of 10)	mRNA-exon (V3C99_007084, exon 7 of 10)	1933	V3C99_007084	V3C99_007084	gnl|V3C99|Hcon5G00000002710						protein_coding
3647	X	20797838	20797838	+	0	NA	Intergenic	Intergenic	1804	V3C99_018390	V3C99_018390	gnl|V3C99|Hcon5G00000001314						protein_coding
8928	II	36222322	36222322	+	0	NA	Intergenic	Intergenic	-10460	V3C99_012719	V3C99_012719	gnl|V3C99|Hcon5G00000014877						protein_coding
4590	IV	41722160	41722160	+	0	NA	intron (V3C99_009326, intron 11 of 15)	mRNA-intron (V3C99_009326, intron 12 of 16)	7312	V3C99_009326	V3C99_009326	gnl|V3C99|Hcon5G00000004952						protein_coding
1596	X	11849947	11849947	+	0	NA	Intergenic	Intergenic	-14893	V3C99_017864	V3C99_017864	gnl|V3C99|Hcon5G00000000788						protein_coding
3994	II	34786646	34786646	+	0	NA	intron (V3C99_012637, intron 1 of 9)	mRNA-intron (V3C99_012637, intron 1 of 9)	-2043	V3C99_012637	V3C99_012637	gnl|V3C99|Hcon5G00000014795						protein_coding
22452	II	29323064	29323064	+	0	NA	Intergenic	Intergenic	13707	V3C99_012338	V3C99_012338	gnl|V3C99|Hcon5G00000014496						protein_coding
1887	II	5073301	5073301	+	0	NA	intron (V3C99_010724, intron 2 of 17)	mRNA-intron (V3C99_010722, intron 6 of 83)	-2940	V3C99_010724	V3C99_010724	gnl|V3C99|Hcon5G00000012882						protein_coding
855	V	49175696	49175696	+	0	NA	Intergenic	Intergenic	4193	V3C99_017076	V3C99_017076	gnl|V3C99|Hcon5G00000019234						protein_coding
14474	I	1134267	1134267	+	0	NA	Intergenic	Intergenic	-2601	V3C99_003188	V3C99_003188	gnl|V3C99|Hcon5G00000006145						protein_coding
7015	IV	1282074	1282074	+	0	NA	Intergenic	Intergenic	-1344	V3C99_006619	V3C99_006619	gnl|V3C99|Hcon5G00000002245						protein_coding
15328	X	1222900	1222900	+	0	NA	Intergenic	Intergenic	-3375	V3C99_017133	V3C99_017133	gnl|V3C99|Hcon5G00000000057						protein_coding
9368	III	22495031	22495031	+	0	NA	intron (V3C99_001437, intron 11 of 70)	mRNA-intron (V3C99_001437, intron 11 of 70)	8266	V3C99_001437	V3C99_001437	gnl|V3C99|Hcon5G00000010926						protein_coding
4146	V	22026850	22026850	+	0	NA	intron (V3C99_015190, intron 1 of 6)	mRNA-intron (V3C99_015190, intron 1 of 6)	1579	V3C99_015190	V3C99_015190	gnl|V3C99|Hcon5G00000017348						protein_coding
1140	IV	51935092	51935092	+	0	NA	Intergenic	Intergenic	-6542	V3C99_010200	V3C99_010200	gnl|V3C99|Hcon5G00000005826						protein_coding
16002	III	36587528	36587528	+	0	NA	exon (V3C99_002390, exon 21 of 21)	mRNA-exon (V3C99_002390, exon 21 of 21)	13442	V3C99_002390	V3C99_002390	gnl|V3C99|Hcon5G00000011879						protein_coding
7811	I	33937439	33937439	+	0	NA	Intergenic	Intergenic	-14389	V3C99_005466	V3C99_005466	gnl|V3C99|Hcon5G00000008423						protein_coding
12282	II	26018257	26018257	+	0	NA	intron (V3C99_012130, intron 14 of 14)	mRNA-intron (V3C99_012130, intron 12 of 13)	5839	V3C99_012132	V3C99_012132	gnl|V3C99|Hcon5G00000014290						protein_coding
4535	V	16200453	16200453	+	0	NA	promoter-TSS (V3C99_014911)	mRNA-promoter-TSS (V3C99_014911)	-645	V3C99_014911	V3C99_014911	gnl|V3C99|Hcon5G00000017069						protein_coding
1528	III	22110749	22110749	+	0	NA	promoter-TSS (V3C99_001409)	mRNA-promoter-TSS (V3C99_001409)	-649	V3C99_001409	V3C99_001409	gnl|V3C99|Hcon5G00000010898						protein_coding
20348	III	14734165	14734165	+	0	NA	Intergenic	Intergenic	-1269	V3C99_000930	V3C99_000930	gnl|V3C99|Hcon5G00000010419						protein_coding
12823	IV	5541807	5541807	+	0	NA	intron (V3C99_006962, intron 2 of 5)	mRNA-intron (V3C99_006962, intron 2 of 5)	423	V3C99_006962	V3C99_006962	gnl|V3C99|Hcon5G00000002588						protein_coding
18649	IV	43492653	43492653	+	0	NA	intron (V3C99_009464, intron 25 of 43)	mRNA-intron (V3C99_009464, intron 25 of 43)	4964	V3C99_009465	V3C99_009465	gnl|V3C99|Hcon5G00000005091						protein_coding
8996	IV	49049910	49049910	+	0	NA	TTS (V3C99_009946)	mRNA-TTS (V3C99_009946)	4669	V3C99_009946	V3C99_009946	gnl|V3C99|Hcon5G00000005572						protein_coding
14786	III	41383963	41383963	+	0	NA	TTS (V3C99_002775)	mRNA-TTS (V3C99_002775)	2821	V3C99_002775	V3C99_002775	gnl|V3C99|Hcon5G00000012264						protein_coding
183	I	4855103	4855103	+	0	NA	promoter-TSS (V3C99_003529)	mRNA-promoter-TSS (V3C99_003529)	-328	V3C99_003529	V3C99_003529	gnl|V3C99|Hcon5G00000006486						protein_coding
7230	II	33010840	33010840	+	0	NA	promoter-TSS (V3C99_012543)	mRNA-promoter-TSS (V3C99_012543)	4	V3C99_012543	V3C99_012543	gnl|V3C99|Hcon5G00000014701						protein_coding
13081	III	19743876	19743876	+	0	NA	promoter-TSS (V3C99_001227)	mRNA-promoter-TSS (V3C99_001227)	-894	V3C99_001227	V3C99_001227	gnl|V3C99|Hcon5G00000010716						protein_coding
